"feature","mars_per_unit","se","low","high","n_knots","status"
"sale_age",-117.45,10.74,-138.5,-96.41,1,"SUPPORTED"
"gla",223.2,5.73,211.97,234.42,1,"SUPPORTED"
"lot_sf",4.73,0.63,3.49,5.97,1,"SUPPORTED"
"garage",17637.7,3976.25,9844.25,25431.16,1,"SUPPORTED"
"full_baths",0,0,0,0,0,"NOT RETAINED BY GCV (below noise floor here) - see battery"
"half_baths",0,0,0,0,0,"NOT RETAINED BY GCV (below noise floor here) - see battery"
"bsmt_fin_sf",0,0,0,0,1,"RETAINED BUT FLAT AT SUBJECT POSITION - see per-segment slopes"
"bsmt_unf_sf",0,0,0,0,0,"NOT RETAINED BY GCV (below noise floor here) - see battery"
"year_built",0,0,0,0,1,"RETAINED BUT FLAT AT SUBJECT POSITION - see per-segment slopes"
"levels",29333,2987.76,23477,35189.01,1,"SUPPORTED"
