"month_offset","month","dollar_adj_to_effective","pct_at_median_price"
0,"2026-07",0,0
1,"2026-06",3575,0.0046
2,"2026-05",7150,0.0091
3,"2026-04",10725,0.0137
4,"2026-03",14300,0.0183
5,"2026-01",17875,0.0228
6,"2025-12",21450,0.0274
7,"2025-11",25025,0.032
8,"2025-10",28600,0.0366
9,"2025-10",32175,0.0411
10,"2025-08",35750,0.0457
11,"2025-08",39325,0.0503
12,"2025-07",42900,0.0548
13,"2025-06",46475,0.0594
14,"2025-05",49448,0.0632
15,"2025-04",49448,0.0632
16,"2025-03",49448,0.0632
17,"2025-01",49448,0.0632
18,"2024-12",49448,0.0632
